bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 15-06-2023 22:40:57
*B0 B1 0000001DB0 15-06-2023 23:40:57
*B0 B1 0000001DB0 16-06-2023 00:40:57
*B0 B1 0000001DB0 16-06-2023 01:40:58
*B0 B1 0000001DB0 16-06-2023 03:40:58
*B0 B1 0000001DB0 16-06-2023 04:40:58
*B0 B1 0000001DB0 16-06-2023 05:40:59
*B0 B1 0000001DB0 16-06-2023 06:40:59
*B0 B1 0000001DB0 16-06-2023 07:40:59
*B0 B1 0000001DB0 16-06-2023 08:41:00
*B0 B1 0000001DB0 16-06-2023 09:41:00
*B0 B1 0000001DB0 16-06-2023 11:41:00
*B0 B1 0000001DB0 16-06-2023 12:41:00
*B0 B1 0000001DB0 16-06-2023 13:41:01
*B0 B1 0000001DB0 16-06-2023 14:41:01
*B0 B1 0000001DB0 16-06-2023 15:41:01
*B0 B1 0000001DB0 16-06-2023 16:41:01
*B0 B1 0000001DB0 16-06-2023 17:41:01
*B0 B1 0000001DB0 16-06-2023 18:41:02
*B0 B1 0000001DB0 16-06-2023 19:41:02
*B0 B1 0000001DB0 16-06-2023 20:41:02
*B0 B1 0000001DB0 16-06-2023 21:41:02
*B0 B1 0000001DB0 16-06-2023 22:41:03
*B0 B1 0000001DB0 16-06-2023 23:41:03
*B0 B1 0000001DB0 17-06-2023 00:41:03
*B0 B1 0000001DB0 17-06-2023 01:41:04
*B0 B1 0000001DB0 17-06-2023 02:41:04
*B0 B1 0000001DB0 17-06-2023 03:41:04
*B0 B1 0000001DB0 17-06-2023 04:41:04
*B0 B1 0000001DB0 17-06-2023 05:41:05
*B0 B1 0000001DB0 17-06-2023 06:41:05
*B0 B1 0000001DB0 17-06-2023 08:41:06
*B0 B1 0000001DB0 17-06-2023 09:41:06
*B0 B1 0000001DB0 17-06-2023 10:41:06
*B0 B1 0000001DB0 17-06-2023 11:41:06
*B0 B1 0000001DB0 17-06-2023 12:41:07
*B0 B1 0000001DB0 17-06-2023 13:41:07
*B0 B1 0000001DB0 17-06-2023 15:41:07
*B0 B1 0000001DB0 17-06-2023 16:41:08
